cnpjCpfFornecedor;formaParticipacao;idFornecedor;itensProposta;nomeFonecedor;representanteCertame;responsavelFornecedor;socios;origem_arquivo
06.354.402/0001-70;INDIVIDUAL; ;itensProposta_ed8fd42f-0b1d-49bf-97ee-76500e4229d9.csv;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;;; ;participantes_01b03cd6-40a6-49f3-a26d-db32f70ee5c6.csv
11.515.243/0001-89;INDIVIDUAL; ;itensProposta_ffd3fd58-6e75-4264-8fd8-34875359fded.csv;F & S - PRODUCOES ARTISTICAS LTDA;;; ;participantes_0b94132f-c2dc-4e84-8ca5-d3e72c187a8f.csv
86.532.751/0001-74;INDIVIDUAL; ;itensProposta_f2b78198-8a1c-47b9-818e-8ff99d42515e.csv;HOSPITAL DE CARIDADE SAO ROQUE;;; ;participantes_2370265d-ecff-446c-95bd-0baea7b4654f.csv
06.354.402/0001-70;INDIVIDUAL; ;itensProposta_cfb76f85-1bf2-4478-86f3-6f2a9a424c5d.csv;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;;; ;participantes_2856037b-53cd-4c80-8c8a-a5525c85ebda.csv
06.354.402/0001-70;INDIVIDUAL; ;itensProposta_ab09c1e5-2237-43d1-993e-d2fb483f9545.csv;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;;; ;participantes_31646654-d5ef-4a87-9f94-db0f265dd153.csv
04.096.738/0001-55;INDIVIDUAL; ;itensProposta_0fc1a7ab-1d37-4676-92ee-c76ebbef50d2.csv;EDITORA AMIGOS DA NATUREZA;;; ;participantes_5ea8d509-a621-4ae3-a030-2cc98dc108a8.csv
01.289.471/0001-24;INDIVIDUAL; ;itensProposta_62fecc32-4af0-4f7e-8d28-f4f57aab3f24.csv;FASE2 PRODUÃÃES & EVENTOS LTDA;;; ;participantes_6aee0b07-e6b7-4cb1-9f2a-99077ddfae11.csv
83.052.191/0001-62;INDIVIDUAL; ;itensProposta_a5cc2639-8f7a-482a-8172-f638b041f6af.csv;EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL;;; ;participantes_979c37c0-3d86-4fc9-83a3-521f64b60584.csv
83.661.074/0001-04;INDIVIDUAL; ;itensProposta_68fe26f4-3f54-464e-a3ef-9eb1b22d3dc7.csv;FUNDACAO EDUCACIONAL DE CRICIUMA;;; ;participantes_a6bf3a04-abb5-4300-80fe-cba16bbd57c8.csv
06.354.402/0001-70;INDIVIDUAL; ;itensProposta_5b948262-f4d0-4d88-9c0c-7964b368658c.csv;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;;; ;participantes_e3d41c16-c1b7-4409-aef2-8ff4df6c5752.csv
